Model,Split,Window_Start,Window_End,MAE,RMSE,MAPE,R_squared
Baseline_CurrentERCOT,Test_2025,2025-01-17,2025-01-23,6923.210176862319,8194.44943699683,11.209888526317762,0.041742707913708155
LightGBM,Test_2025,2025-01-17,2025-01-23,7842.382385636926,9868.078763909356,12.167037399127194,-0.38965753838840844
LSTM,Test_2025,2025-01-17,2025-01-23,8801.95018115942,10424.15944414018,13.602583192136336,-0.5506887750133802
RandomForest,Test_2025,2025-01-17,2025-01-23,10795.682566135154,12625.269170929809,16.438011413511948,-1.2746986260554451
